						Tormach Position				SetParent	
pageIndex	menuText.txt 	highlightOrder	ObjectSelection	AnimatorParent/AnimatorSequnce	Speed	X	Y	Z	AttentionPointer	Parent	Child 
	% Structure				0.2	0	0	0			
					0.2	0	0	0			
	% Start				0.2	0	0	0			
					0.2	0	0	0			
	%Main				0.2	0	0	0			
					0.2	0	0	0			
	%Procedural Instruction				0.2	0	0	0			
					0.2	0	0	0			
	Work Coordinate System Alignment				0.2	0	0	0			
	Work Coordinate System Alignment is the process of establishing the relative position of the stock material to the machine.										
	Learning Objective: Given the milling machine, fixtures, stock, and endmill, and edgefinder:  Establish an X & Y axis origin in alignment with the stock. The accuracy of the origin should be within .001” in.				0.2	0	0	0			
	Note: The following Work Coordinate System uses a Edge Finder.	EdgefinderTH			0.2	0	0	0	EdgefinderTH		
	The edgefinder is used to precisely indicate off the stock and locate the edges of the stock. 	EdgefinderTH			0.2	0	0	0			
	The probe is the lower, movable portion of the tool. This edgefinder is placed in a tool holder for use.	TIP			0.2	0	0	0			
	Let's begin the process of aligning the coordinate systems. 				0.2	0	0	0			
	Identify the Work Coordinate System that is being used in the CAM program.	AlignmentPartCAM	AlignmentPartCAM	CAMWCS	0.2	0	0	0	AlignmentWCSCAM		
	The origin used in the CAM program MUST match the coordinate system that we define on the stock material.	AlignmentPartCAM	AlignmentWCSStock	WCSMatching	0.2	0	0	0			
	Place the edge finder in a collet or chuck	1EDGE-FINDER	1EDGE-FINDER	EdgefinderAssembly	0.2	0	0	0			
	Place edge finder into machine	EdgefinderTH	EdgefinderTH	Toolholder Placement	0.2	0	0	0			
	Place edge finder into machine				0.2	0	0	0		ToolHolderPosition	EdgefinderTH
	Offset the edge finder to have the probe rotate off-center	EdgefinderTH	TIP	WPEF	0.2	0	0	0			
	Turn the spindle on and run between 500-1000 RPM				0.2	0	0	0			
	Move the work piece and approach the side of the stock that is collinear with the X axis.				0.2	0.2	0	-0.3	AlignmentWCSStock		
	Slowly continue to move the edge finder to the side of the stock. As the probe and stock contact, the rotation will appear more concentric.				0.2	0.1525	0	-0.3			
	Continue very incrementally (.0005” ) until the edge finder probe pops out of concentricity. This is the indication that the tool has come in contact with the edge. 				0.2	0.15	0	-0.3	XZero		
	Set the X axis location to be ½ the diameter of the probe offset from 0. 	XZero			0.2	0	0	0			
					0.2	0	0	0			
	Tool  Length Offset				0.2	0	0	0			
	Tool  Length Offset Procedure: Tool Setter Method				0.2	0	0	0			
					0.2	0	0	0			
	Note: The toolsetter is a specialized measurement tool and is calibrated to measure the distance from the bottom of the tool setter to the top of the pressure measurement pad.	ToolOffsetter	ToolOffsetter	ToolIOffsetterPath	0.2	0	0	0			
